"Species","LifeForm","Count","Mean","Rank","CumAve","PlantCode","Genus"
"Penstemon sp","forb",11,0.75,34,85.55,"PENS SP","Penstemon"
"Poa sp","graminoid",31,11.99354839,1,11.99354839,"POA SP","Poa"
"Agropyron sp","graminoid",31,8.732258065,2,20.72580645,"AGRO SP","Agropyron"
"Carex sp","graminoid",31,7.490322581,3,28.21612903,"CARE SP","Carex"
"Lupinus sp","forb",31,6.04516129,4,34.26129032,"LUPI SP","Lupinus"
"Verbascum sp","forb",31,4.464516129,5,38.72580645,NA,"Verbascum"
"Bromus tectorum","graminoid",31,3.587096774,6,42.31290323,"BROTEC","Bromus"
"Festuca altaica campestris","graminoid",31,3.516129032,7,45.82903226,NA,"Festuca"
"Stipa comata","graminoid",31,3.267741935,8,49.09677419,"STICOM","Stipa"
"Poa pratensis","graminoid",31,2.683870968,9,51.78064516,"POAPRA","Poa"
"Medicago sativa","forb",31,2.551612903,10,54.33225806,"MEDSAT","Medicago"
"Balsamorhiza sagittata","forb",31,2.316129032,11,56.6483871,"BALSAG","Balsamorhiza"
"Salix sp","shrub",31,2.306451613,12,58.95483871,"SALI SP","Salix"
"Bromus inermis","graminoid",31,1.983870968,13,60.93870968,"BROINE","Bromus"
"Elymus glaucus","graminoid",31,1.938709677,14,62.87741935,"ELYGLA","Elymus"
"Centaurea sp","forb",31,1.935483871,15,64.81290323,NA,"Centaurea"
"Shepherdia sp","shrub",31,1.670967742,16,66.48387097,NA,"Shepherdia"
"Calamagrostis rubescens","graminoid",31,1.609677419,17,68.09354839,"CALRUB","Calamagrostis"
"Festuca idahoensis","graminoid",31,1.574193548,19,71.25483871,"FESIDA","Festuca"
"Physocarpus sp","shrub",31,1.364516129,21,74.17419355,NA,"Physocarpus"
"Pseudoroegneria spicata","graminoid",31,1.229032258,22,75.40322581,"PSESPI","Pseudoroegneria"
"Trifolium sp","forb",31,1.087096774,23,76.49032258,"TRIF SP","Trifolium"
"Pinus sp","tree",31,1.061290323,25,78.62258065,NA,"Pinus"
"Phleum pratense","graminoid",31,1.041935484,26,79.66451613,"PHLPRA","Phleum"
"Achillea millefolium","forb",31,1.006451613,27,80.67096774,"ACHMIL","Achillea"
"Cirsium sp","forb",31,0.948387097,28,81.61935484,NA,"Cirsium"
"Vaccinium sp","shrub",31,0.932258065,29,82.5516129,NA,"Vaccinium"
"Alopecurus sp","graminoid",31,0.767741935,30,83.31935484,NA,"Alopecurus"
"Koeleria macrantha","graminoid",31,0.748387097,31,84.06774194,"KOEMAC","Koeleria"
"Astragalus sp","forb",31,0.722580645,32,84.79032258,"ASTR SP","Astragalus"
"Taraxacum sp","forb",31,0.703225806,33,85.49354839,NA,"Taraxacum"
"Symphoricarpos albus","shrub",31,0.674193548,34,86.16774194,"SYMALB","Symphoricarpos"
"Potentilla sp","forb",21,0.635483871,35,86.80322581,"POTE SP","Potentilla"
"Zea mays","graminoid",21,0.603225806,37,88.01290323,"ZEAMAY","Zea"
"Triticum aestivum","graminoid",21,0.580645161,38,88.59354839,"TRIAES","Triticum"
"Galium sp","forb",31,0.570967742,39,89.16451613,NA,"Galium"
"Ranunculus sp","forb",31,0.570967742,40,89.73548387,"RANU SP","Ranunculus"
"Solidago sp","forb",31,0.551612903,41,90.28709677,NA,"Solidago"
"Agropyron cristatum","graminoid",21,0.529032258,42,90.81612903,"AGRCRI","Agropyron"
"Populus sp","tree",21,0.467741935,44,91.77741935,NA,"Populus"
"Dactylis glomerata","graminoid",21,0.461290323,45,92.23870968,"DACGLO","Dactylis"
"Equisetum sp","forb",31,0.438709677,46,92.67741935,NA,"Equisetum"
"Salix sp","shrub",31,0.419354839,47,93.09677419,"SALI SP","Salix"
"Berberis repens","shrub",21,0.396774194,48,93.49354839,"BERREP","Berberis"
"Prunus sp","shrub",31,0.316129032,49,93.80967742,NA,"Prunus"
"Phlox sp","forb",31,0.303225806,50,94.11290323,NA,"Phlox"
"Aristida purpurea","graminoid",21,0.280645161,51,94.39354839,NA,"Aristida"
"Xerophyllum tenax","forb",11,0.280645161,52,94.67419355,"XERTEN","Xerophyllum"
"Cornus sp","forb",21,0.277419355,53,94.9516129,NA,"Cornus"
